date,total_pcr,index_pcr,etp_pcr,equity_pcr,vix_pcr,spx_pcr
03/07/2024,0.95,1.22,1.12,0.56,0.73,1.33
03/08/2024,0.92,1.18,0.95,0.56,0.48,1.40
03/11/2024,1.03,1.34,1.08,0.68,0.61,1.53
03/12/2024,1.07,1.19,1.29,0.68,0.45,1.44
03/13/2024,0.87,1.04,0.94,0.59,0.35,1.46
03/14/2024,0.90,1.09,0.83,0.63,0.41,1.40
03/15/2024,0.80,0.87,0.97,0.61,0.19,1.42
03/18/2024,0.86,1.00,1.18,0.50,0.30,1.51
03/19/2024,1.02,1.13,1.26,0.66,0.61,1.38
03/20/2024,0.98,1.07,1.17,0.72,0.27,1.51
03/21/2024,0.99,1.13,1.22,0.67,0.52,1.35
03/22/2024,1.29,1.38,2.38,0.65,0.69,1.54
03/25/2024,1.02,1.28,1.20,0.70,0.32,1.59
03/26/2024,1.00,1.31,1.04,0.64,0.65,1.52
03/27/2024,1.02,1.29,1.07,0.67,0.68,1.43
03/28/2024,1.19,1.13,2.20,0.56,0.27,1.39
04/01/2024,0.94,1.15,0.97,0.65,0.20,1.41
04/02/2024,0.95,1.19,0.85,0.66,0.68,1.40
04/03/2024,1.06,1.35,1.13,0.69,0.96,1.41
04/04/2024,1.03,1.18,1.15,0.68,0.78,1.35
04/05/2024,1.19,1.51,1.24,0.71,1.13,1.66
04/08/2024,1.02,1.26,1.11,0.64,0.67,1.54
04/09/2024,1.05,1.27,1.08,0.72,0.98,1.38
04/10/2024,1.01,1.11,1.21,0.63,0.49,1.37
04/11/2024,0.98,1.20,1.05,0.63,0.70,1.37
04/12/2024,0.85,0.90,0.89,0.68,0.42,1.44
04/15/2024,0.92,0.98,1.06,0.64,0.44,1.37
04/16/2024,0.83,0.94,0.71,0.73,0.40,1.37
04/17/2024,1.27,1.14,1.72,1.13,0.51,1.39
04/18/2024,0.99,1.27,0.91,0.68,0.73,1.42
04/19/2024,1.03,1.28,1.18,0.65,0.66,1.44
04/22/2024,0.91,1.10,1.05,0.57,0.43,1.36
04/23/2024,1.03,1.24,1.14,0.65,0.86,1.37
04/24/2024,0.94,1.06,1.07,0.71,0.55,1.25
04/25/2024,0.93,1.02,1.12,0.68,0.42,1.23
04/26/2024,1.00,1.41,1.21,0.55,1.37,1.42
04/29/2024,0.93,1.20,1.00,0.61,0.43,1.38
04/30/2024,0.94,1.14,1.09,0.60,0.53,1.27
05/01/2024,1.06,1.19,1.20,0.84,0.57,1.39
05/02/2024,0.99,1.19,1.04,0.73,0.37,1.33
05/03/2024,0.94,1.21,0.98,0.60,0.79,1.37
05/06/2024,1.29,1.24,2.86,0.63,0.73,1.45
05/07/2024,0.99,1.15,1.10,0.72,0.73,1.39
05/08/2024,0.97,1.13,1.11,0.69,0.54,1.36
05/09/2024,0.85,1.04,1.03,0.55,0.43,1.24
05/10/2024,0.90,1.14,0.98,0.60,0.51,1.38
05/13/2024,0.89,1.11,1.13,0.57,0.46,1.46
05/14/2024,0.90,1.17,1.17,0.53,0.73,1.33
05/15/2024,0.88,0.91,1.26,0.57,0.39,1.32
05/16/2024,0.82,1.02,0.77,0.59,0.46,1.34
05/17/2024,0.81,1.10,0.86,0.54,0.49,1.47
05/20/2024,1.00,1.17,1.48,0.53,0.67,1.43
05/21/2024,0.83,0.94,1.02,0.59,0.30,1.40
05/22/2024,0.82,0.93,1.04,0.57,0.17,1.45
05/23/2024,0.90,0.94,1.19,0.65,0.25,1.33
05/24/2024,1.00,1.16,1.28,0.67,0.28,1.45
05/28/2024,0.88,1.08,1.08,0.56,0.30,1.44
