Database:Monthly
Month:2024-
Indicators,Feb. 2026,Jan. 2026,Dec. 2025,Nov. 2025,Oct. 2025,Sep. 2025,Aug. 2025,Jul. 2025,Jun 2025,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024
Inventories of Manufacture of Chemical Fibers The Same Period of Previous Year(100 million yuan),,,1244.20,1275.70,1292.30,1321.20,1345.10,1429.40,1390.90,1391.40,1406.00,1407.00,1389.80,,1244.60,1249.70,1240.00,1218.60,1195.70,1189.70,1171.70,1165.30,1192.50,1186.70,1184.70,
Inventories of Manufacture of Chemical Fibers Accumulated Growth Rate(%),,,-1.5,-2.6,-1.1,-0.4,-1.6,-7.2,-5.1,-4.3,-2.3,-0.8,-1.1,,0.6,2.7,4.8,8.3,12.5,20.8,19.2,18.8,17.4,18.4,17.0,
Inventories of Manufacture of Rubber and Plastics month-end(100 million yuan),,,3991.70,4031.80,4027.40,4033.40,4011.60,4005.10,4001.30,4065.10,4054.70,4015.20,3962.50,,3976.10,3980.90,3931.00,3912.10,3894.40,3884.80,3852.00,3856.90,3834.50,3771.50,3720.20,
Inventories of Manufacture of Rubber and Plastics The Same Period of Previous Year(100 million yuan),,,4000.10,4000.70,3951.00,3938.30,3917.10,3895.30,3864.50,3868.80,3844.20,3784.30,3724.80,,3829.80,3815.70,3797.60,3753.30,3737.50,3717.90,3708.80,3749.80,3739.20,3709.80,3675.90,
Inventories of Manufacture of Rubber and Plastics Accumulated Growth Rate(%),,,-0.2,0.8,1.9,2.4,2.4,2.8,3.5,5.1,5.5,6.1,6.4,,3.8,4.3,3.5,4.2,4.2,4.5,3.9,2.9,2.5,1.7,1.2,
Inventories of Manufacture of Non-metallic Mineral Products month-end(100 million yuan),,,6956.80,7126.00,7147.20,7074.10,7064.00,7059.90,7047.80,7057.10,7022.80,6948.80,6807.90,,7259.10,7477.40,7514.70,7480.40,7511.80,7476.10,7433.80,7457.50,7384.40,7263.80,7168.50,
Inventories of Manufacture of Non-metallic Mineral Products The Same Period of Previous Year(100 million yuan),,,7259.90,7482.00,7570.70,7538.10,7569.80,7532.20,7453.50,7466.60,7383.80,7263.40,7185.90,,7384.90,7521.60,7505.90,7412.90,7404.60,7419.50,7437.70,7527.90,7474.20,7362.20,7319.50,
Inventories of Manufacture of Non-metallic Mineral Products Accumulated Growth Rate(%),,,-4.2,-4.8,-5.6,-6.2,-6.7,-6.3,-5.4,-5.5,-4.9,-4.3,-5.3,,-1.7,-0.6,0.1,0.9,1.4,0.8,-0.1,-0.9,-1.2,-1.3,-2.1,
Inventories of Smelting and Pressing of Ferrous Metals month-end(100 million yuan),,,7943.80,8026.50,8013.90,7900.60,7733.50,7586.80,7675.20,7784.20,7809.90,7889.80,7820.90,,7736.10,7908.80,7566.40,7557.60,7813.90,7964.30,7903.10,7913.00,7970.80,8273.30,8452.40,
Inventories of Smelting and Pressing of Ferrous Metals The Same Period of Previous Year(100 million yuan),,,7710.40,7878.20,7785.90,7736.60,7985.10,8067.60,7987.30,8031.10,8080.60,8407.30,8566.50,,8042.40,8177.80,7994.10,7866.90,7802.60,7728.20,7666.70,8009.60,8377.50,8530.70,8357.10,
